SciName,Origin,Origin2,Notes
Trollius_laxus,NA,,Weber 2003: Diverse genus in Eurasia
unable_to_identify,NA,,
Urtica_dioica,NTm,,
Verbascum_thapsus,Unk,,
Verbena,WTD,,
Veronica_americana,NTm,,
Viola,NTm,,
Viola_adunca,NTm,,
Viola_canadensis,NTm,,
Yucca_glauca,WTD,,
Zigadenus_elegans,NTm,,
